8,JR四国
3,JR東海
1,札幌市営地下鉄
3,近畿日本鉄道
6,京阪電気鉄道
3,相模鉄道
6,京福電気鉄道
4,東葉高速鉄道
9,沖縄都市モノレール
7,井原鉄道
6,阪急電鉄
6,丹後海陸交通
4,長野電鉄
5,愛知高速交通
3,湘南モノレール
9,熊本市電
2,秋田内陸縦貫鉄道
3,わたらせ渓谷鐵道
6,北条鉄道
6,泉北高速鉄道
5,富山地方鉄道
5,阪堺電気軌道
7,智頭急行
2,仙台市地下鉄
3,横浜シーサイドライン
6,鞍馬寺
3,東京モノレール
5,JR東日本
9,平成筑豊鉄道
5,黒部峡谷鉄道
4,JR東日本
3,長野電鉄
4,富山地方鉄道
9,皿倉鉄道
6,北神急行電鉄
3,樽見鉄道
3,一畑電車
4,北越急行
9,肥薩おれんじ鉄道
9,岡本製作所
3,いすみ鉄道
8,土佐くろしお鉄道
5,富山ライトレール
7,スカイレールサービス
6,信楽高原鐵道
7,JR四国
3,関東鉄道
9,JR九州
9,甘木鉄道
2,青い森鉄道
9,南阿蘇鉄道
6,北大阪急行電鉄
3,銚子電気鉄道
4,しなの鉄道
9,福岡市営地下鉄
1,函館市電
2,阿武隈急行
3,小田急電鉄
3,小湊鐵道
2,福島交通
3,京浜急行電鉄
6,神戸新交通
5,名古屋市営地下鉄
7,岡山電気軌道
4,JR東海
3,富士急行
3,都営地下鉄
3,北総鉄道
3,JR東日本
6,嵯峨野観光鉄道
7,水島臨海鉄道
3,秩父鉄道
5,アルピコ交通
6,智頭急行
6,大阪市営地下鉄
5,大井川鐵道
3,伊豆箱根鉄道
5,養老鉄道
3,埼玉新都市交通
4,JR西日本
3,三岐鉄道
8,高松琴平電気鉄道
5,伊賀鉄道
6,紀州鉄道
3,ゆりかもめ
2,会津鉄道
8,四国ケーブル
5,天竜浜名湖鉄道
3,横浜高速鉄道
3,多摩都市モノレール
6,阪堺電気軌道
6,近江鉄道
5,静岡鉄道
9,島原鉄道
3,東葉高速鉄道
5,近畿日本鉄道
8,伊予鉄道
3,大山観光電鉄
3,箱根登山鉄道
3,上信電鉄
5,名古屋鉄道
7,広島電鉄
3,東京メトロ
5,IRいしかわ鉄道
3,東武鉄道
1,道南いさりび鉄道
2,仙台空港鉄道
6,和歌山電鐵
6,叡山電鉄
5,四日市あすなろう鉄道
9,JR西日本
5,大山観光電鉄
3,埼玉高速鉄道
3,真岡鐵道
3,高尾登山電鉄
6,京都丹後鉄道
3,北陸鉄道
5,名古屋臨海高速鉄道
3,京王電鉄
2,青函トンネル記念館
5,伊勢鉄道
5,伊豆箱根鉄道
6,三岐鉄道
7,一畑電車
4,アルピコ交通
2,津軽鉄道
3,首都圏新都市鉄道
7,広島高速交通
6,JR東海
6,南海電気鉄道
3,鹿島臨海鉄道
3,山万
5,のと鉄道
5,東海交通事業
1,JR北海道
5,豊橋鉄道
2,IGRいわて銀河鉄道
5,愛知環状鉄道
5,明知鉄道
3,筑波観光鉄道
5,樽見鉄道
5,伊豆急行
3,舞浜リゾートライン
6,阪神電気鉄道
8,とさでん交通
4,あいの風とやま鉄道
9,松浦鉄道
6,山陽電気鉄道
5,福井鉄道
5,遠州鉄道
9,熊本電気鉄道
3,御岳登山鉄道
7,JR西日本
9,鹿児島市電
3,横浜市営地下鉄
5,北陸鉄道
3,智頭急行
7,JR九州
2,野岩鉄道
2,由利高原鉄道
5,長良川鉄道
2,JR東日本
6,水間鉄道
5,立山黒部貫光
9,阪神電気鉄道
4,東武鉄道
3,京成電鉄
6,六甲山観光
6,京都市営地下鉄
6,近畿日本鉄道
3,江ノ島電鉄
5,関西電力
2,山形鉄道
6,神戸市営地下鉄
5,名古屋ガイドウェイバス
6,JR西日本
3,流鉄
7,若桜鉄道
5,三岐鉄道
3,東急電鉄
7,錦川鉄道
3,新京成電鉄
2,弘南鉄道
3,富山地方鉄道
6,神戸すまいまちづくり公社
5,あいの風とやま鉄道
4,富士急行
3,東京臨海高速鉄道
9,くま川鉄道
4,上田電鉄
6,大阪高速鉄道
3,愛知高速交通
6,能勢電鉄
3,ひたちなか海浜鉄道
9,北九州高速鉄道
5,JR東海
3,千葉都市モノレール
9,長崎電気軌道
8,阿佐海岸鉄道
3,阪急電鉄
5,えちぜん鉄道
6,比叡山鉄道
3,西武鉄道
2,三陸鉄道
2,東武鉄道
5,岳南電車
5,万葉線
3,上毛電気鉄道
9,西日本鉄道
6,神戸電鉄
5,JR西日本
3,芝山鉄道
3,長良川鉄道
4,えちごトキめき鉄道
9,筑豊電気鉄道
