2,JR東日本,東北線,岩手飯岡
3,JR東日本,根岸線,横浜
6,JR西日本,桜井線,巻向
3,小田急電鉄,小田原線,経堂
5,JR西日本,越美北線,下唯野
6,阪神電気鉄道,本線,甲子園
6,阪急電鉄,箕面線,石橋
1,JR北海道,函館線,鹿部
3,JR東日本,総武線,八街
5,愛知高速交通,東部丘陵線,公園西
7,JR西日本,三江線,香淀
5,JR東海,飯田線,江島
7,水島臨海鉄道,水島本線,三菱自工前
2,JR東日本,奥羽線,三関
4,JR東日本,大糸線,南豊科
7,JR西日本,可部線,七軒茶屋
4,JR東日本,信越線,越後岩塚
3,JR東日本,内房線,木更津
3,都営地下鉄,浅草線,中延
6,JR西日本,関西線,天王寺
5,名古屋鉄道,尾西線,山崎
4,上田電鉄,別所線,別所温泉
6,山陽電気鉄道,本線,大塩
3,秩父鉄道,秩父本線,行田市
6,南海電気鉄道,高野線,河内長野
9,南阿蘇鉄道,高森線,阿蘇白川
3,小湊鐵道,小湊鐵道線,馬立
3,関東鉄道,常総線,中妻
3,JR東日本,総武線,新検見川
6,大阪市営地下鉄,1号線(御堂筋線),難波
6,JR西日本,赤穂線,天和
6,京阪電気鉄道,京阪本線,橋本
3,西武鉄道,新宿線,新狭山
6,能勢電鉄,妙見線,平野
1,JR北海道,函館線,石谷
5,名古屋鉄道,広見線,御嵩
9,JR九州,篠栗線,篠栗
3,JR東日本,高崎線,新町
6,阪急電鉄,今津線,門戸厄神
9,西日本鉄道,天神大牟田線,薬院
3,東急電鉄,池上線,千鳥町
2,青い森鉄道,青い森鉄道線,北高岩
1,JR北海道,根室線,新吉野
2,津軽鉄道,津軽鉄道線,津軽五所川原
6,JR西日本,山陰線,和知
8,伊予鉄道,城北線,本町6丁目
3,真岡鐵道,真岡線,北真岡
5,名古屋鉄道,名古屋本線,奥田
7,水島臨海鉄道,水島本線,浦田
6,阪急電鉄,神戸線,春日野道
6,京阪電気鉄道,京津線,大谷
5,近畿日本鉄道,鈴鹿線,三日市
5,JR東海,身延線,源道寺
6,JR西日本,東海道線,立花
8,JR四国,徳島線,穴吹
1,JR北海道,宗谷線,士別
3,東急電鉄,田園都市線,鷺沼
7,JR西日本,三江線,江津
2,JR東日本,北上線,ゆだ錦秋湖
6,大阪市営地下鉄,1号線(御堂筋線),北花田
5,四日市あすなろう鉄道,内部線,追分
5,養老鉄道,養老線,大垣
2,JR東日本,花輪線,十和田南
6,阪堺電気軌道,阪堺線,東粉浜
1,函館市電,宝来・谷地頭線,十字街
3,小湊鐵道,小湊鐵道線,上総大久保
9,JR九州,日豊線,加納
6,阪堺電気軌道,阪堺線,住吉鳥居前
5,天竜浜名湖鉄道,天竜浜名湖線,円田
4,JR東日本,小海線,龍岡城
7,JR西日本,芸備線,備後落合
3,横浜市営地下鉄,ブルーライン（関内〜あざみ野）,岸根公園
2,JR東日本,磐越東線,大越
2,JR東日本,仙石線,あおば通
7,JR西日本,福塩線,中畑
6,阪急電鉄,宝塚線,清荒神
6,阪急電鉄,宝塚線,石橋
9,松浦鉄道,西九州線,有田
3,JR東日本,常磐線,日暮里
4,えちごトキめき鉄道,妙高はねうまライン,高田
3,JR東日本,横浜線,菊名
5,近畿日本鉄道,名古屋線,川越富洲原
2,JR東日本,奥羽線,かみのやま温泉
6,京阪電気鉄道,交野線,宮之阪
3,東京メトロ,丸ノ内線,銀座
3,東武鉄道,越生線,一本松
3,首都圏新都市鉄道,常磐新線,流山おおたかの森
